ISP_ASN, prefix, {geolocation}
WINDSTREAM_AS7029, 24.223.128.0/17, {'24.223.128.100': {'city': 'Indianapolis', 'state': 'Indiana'}, '24.223.188.100': {'city': 'Springfield', 'state': 'Ohio'}, '24.223.248.100': {'city': 'Lincoln', 'state': 'Nebraska'}}
WINDSTREAM_AS7029, 24.136.64.0/19, {'24.136.64.100': {'city': 'Garden Grove', 'state': 'California'}, '24.136.79.100': {'city': 'La Puente', 'state': 'California'}, '24.136.94.100': {'city': 'Los Angeles', 'state': 'California'}}
WINDSTREAM_AS7029, 139.180.30.0/24, {'139.180.30.50': {'city': None, 'state': None}, '139.180.30.150': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 24.235.72.0/21, {'24.235.72.100': {'city': 'Middleport', 'state': 'New York'}, '24.235.75.100': {'city': 'Canandaigua', 'state': 'New York'}, '24.235.78.100': {'city': 'Lisbon Falls', 'state': 'Maine'}}
WINDSTREAM_AS7029, 170.30.188.0/23, {'170.30.188.100': {'city': None, 'state': None}, '170.30.189.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 72.44.0.0/20, {'72.44.0.100': {'city': None, 'state': None}, '72.44.6.100': {'city': None, 'state': None}, '72.44.12.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 208.118.0.0/19, {'208.118.0.100': {'city': 'Melbourne', 'state': 'Florida'}, '208.118.15.100': {'city': 'Melbourne', 'state': 'Florida'}, '208.118.30.100': {'city': 'DeBary', 'state': 'Florida'}}
WINDSTREAM_AS7029, 63.246.160.0/19, {'63.246.160.100': {'city': 'Austin', 'state': 'Texas'}, '63.246.175.100': {'city': 'Austin', 'state': 'Texas'}, '63.246.190.100': {'city': 'Austin', 'state': 'Texas'}}
WINDSTREAM_AS7029, 24.206.64.0/18, {'24.206.64.100': {'city': 'Austin', 'state': 'Texas'}, '24.206.94.100': {'city': 'El Paso', 'state': 'Texas'}, '24.206.124.100': {'city': 'Austin', 'state': 'Texas'}}
WINDSTREAM_AS7029, 216.73.192.0/19, {'216.73.192.100': {'city': 'Oak View', 'state': 'California'}, '216.73.207.100': {'city': 'Upland', 'state': 'California'}, '216.73.222.100': {'city': 'Porter Ranch', 'state': 'California'}}
WINDSTREAM_AS7029, 24.136.128.0/17, {'24.136.128.100': {'city': 'Southern Pines', 'state': 'North Carolina'}, '24.136.188.100': {'city': 'High Point', 'state': 'North Carolina'}, '24.136.248.100': {'city': 'Apex', 'state': 'North Carolina'}}
WINDSTREAM_AS7029, 204.31.128.0/19, {'204.31.128.100': {'city': 'Charlotte', 'state': 'North Carolina'}, '204.31.143.100': {'city': 'Charlotte', 'state': 'North Carolina'}, '204.31.158.100': {'city': 'Charlotte', 'state': 'North Carolina'}}
WINDSTREAM_AS7029, 23.161.144.0/24, {'23.161.144.50': {'city': 'Portland', 'state': 'Oregon'}, '23.161.144.150': {'city': 'Portland', 'state': 'Oregon'}}
WINDSTREAM_AS7029, 205.147.192.0/21, {'205.147.192.100': {'city': None, 'state': None}, '205.147.195.100': {'city': None, 'state': None}, '205.147.198.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 65.87.128.0/18, {'65.87.128.100': {'city': 'Sumter', 'state': 'South Carolina'}, '65.87.158.100': {'city': 'Conway', 'state': 'South Carolina'}, '65.87.188.100': {'city': 'Chapel Hill', 'state': 'North Carolina'}}
WINDSTREAM_AS7029, 206.246.218.0/23, {'206.246.218.100': {'city': 'Birmingham', 'state': 'Alabama'}, '206.246.219.100': {'city': 'Birmingham', 'state': 'Alabama'}}
WINDSTREAM_AS7029, 144.86.239.0/24, {'144.86.239.50': {'city': None, 'state': None}, '144.86.239.150': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 24.110.0.0/16, {'24.110.0.100': {'city': 'Rockledge', 'state': 'Florida'}, '24.110.120.100': {'city': 'Orlando', 'state': 'Florida'}, '24.110.250.100': {'city': 'Casselberry', 'state': 'Florida'}}
WINDSTREAM_AS7029, 199.223.139.0/24, {'199.223.139.50': {'city': 'Bristol', 'state': 'Connecticut'}, '199.223.139.150': {'city': 'Bristol', 'state': 'Connecticut'}}
